,name,handedness,height,weight,avg,HR,weight_height
1127,Dave Johnson,R,73,183,0.0,0,0.942857142857
1128,Gail Hopkins,L,70,198,0.266,25,0.885714285714
1129,Doug Frobel,L,76,196,0.201,20,1.26666666667
1130,Luis Melendez,R,72,165,0.248,9,0.704761904762
1131,Jerry Augustine,L,72,183,0.0,0,0.87619047619
1132,Bill Plummer,R,73,190,0.188,14,1.00952380952
1133,Buck Rodgers,B,74,190,0.232,31,1.07619047619
1134,Phil Niekro,R,73,180,0.169,7,0.914285714286
1135,Jeff Holly,L,77,210,0.0,0,1.46666666667
1136,Tom Poquette,L,70,175,0.268,10,0.666666666667
1137,Eric Hetzel,R,75,175,0.0,0,1.0
1138,Brian Asselstine,L,73,175,0.254,12,0.866666666667
1139,Rick Miller,L,72,175,0.269,28,0.8
1140,Ed Charles,R,70,170,0.263,86,0.619047619048
1141,Luis Gomez,R,69,150,0.21,0,0.361904761905
1142,Dave Lemanczyk,R,76,235,0.0,0,1.6380952381
1143,Al Jones,R,76,210,0.0,0,1.4
1144,Floyd Rayford,R,70,190,0.244,38,0.809523809524
1145,Sam Hinds,R,78,215,0.0,0,1.58095238095
1146,Tony Conigliaro,R,75,185,0.264,166,1.09523809524
1147,Clay Christiansen,R,77,205,0.0,0,1.41904761905
1148,Jim Barr,R,75,205,0.162,1,1.28571428571
1149,Jerry Remy,L,69,165,0.275,7,0.504761904762
1150,Larry Rothschild,L,74,180,0.0,0,0.980952380952
1151,Frank Duffy,R,73,180,0.232,26,0.914285714286
1152,Gary Lance,B,75,195,0.0,0,1.19047619048
1153,Tom O'Malley,L,72,180,0.256,13,0.847619047619
1154,Phil Garner,R,70,175,0.26,109,0.666666666667
1155,Larry Pashnick,R,75,205,0.0,0,1.28571428571
1156,Todd Fischer,R,70,170,0.0,0,0.619047619048
